Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
481080,16,481070,2.17E-03
481080,17,481060,1.32E-07
481080,102,481090,3.48E-01
481080,103,471080,9.99E-05
481090,16,481080,4.52E-03
481090,17,481070,8.06E-05
481090,102,481100,5.92E-01
481090,103,471090,1.97E-04
481100,16,481090,2.41E-03
481100,17,481080,2.40E-05
481100,102,481110,2.45E-01
481100,103,471100,4.74E-05
481110,16,481100,8.64E-03
481110,17,481090,2.40E-04
481110,102,481120,4.67E-01
481110,103,471110,1.13E-04
481120,16,481110,2.61E-03
481120,17,481100,5.99E-05
481120,102,481130,2.64E-01
481120,103,471120,4.24E-05
481130,16,481120,6.84E-03
481130,17,481110,1.74E-04
481130,102,481140,3.58E-01
481130,103,471130,1.95E-05
481140,16,481130,2.25E-03
481140,17,481120,1.56E-04
481140,102,481150,1.90E-01
481140,103,471140,9.34E-06
481150,16,481140,5.39E-03
481150,17,481130,2.27E-04
481150,102,481160,1.55E-01
481150,103,471150,1.11E-05
481160,16,481150,2.81E-03
481160,17,481140,3.28E-04
481160,102,481170,1.52E-01
481160,103,471160,5.32E-06
491130,16,491120,2.35E-03
491130,17,491110,1.91E-04
491130,102,491140,5.39E-01
491130,103,481130,5.51E-05
491140,16,491130,5.11E-03
491140,102,491150,5.24E-01
491140,103,481140,1.63E-04
491150,16,491140,2.57E-03
491150,17,491130,4.44E-04
491150,102,491160,4.40E-01
491150,103,481150,1.49E-05
501120,16,501110,1.65E-03
501120,17,501100,4.95E-06
501120,102,501130,2.04E-01
501120,103,491120,1.21E-04
501130,16,501120,3.01E-03
501130,17,501110,1.62E-06
501130,102,501140,3.50E-01
501130,103,491130,3.91E-04
501140,16,501130,1.78E-03
501140,17,501120,5.80E-05
501140,102,501150,1.53E-01
501140,103,491140,7.41E-05
501150,16,501140,6.46E-03
501150,17,501130,7.89E-05
501150,102,501160,2.54E-01
501150,103,491150,6.15E-05
501160,16,501150,1.96E-03
501160,17,501140,1.78E-04
501160,102,501170,1.73E-01
501160,103,491160,2.67E-05
501170,16,501160,1.01E-02
501170,17,501150,3.19E-04
501170,102,501180,1.95E-01
501170,103,491170,2.65E-05
501180,16,501170,2.39E-03
501180,17,501160,2.73E-04
501180,102,501190,8.25E-02
501180,103,491180,9.83E-06
501190,16,501180,9.78E-03
501190,17,501170,4.85E-04
501190,102,501200,1.48E-01
501190,103,491190,1.02E-05
501200,16,501190,3.03E-03
501200,102,501210,1.31E-01
501200,103,491200,1.17E-05
